pedro-paulo-with-dachhund	Pedro Paulo c/ Bassê / Pedro Paulo with Dachhund	homenagem,interiores	1991	Óleo s/tela s/eucatex e moldura / Oil on canvas on masonite & frame		44 cm x 30 cm	Coleção Particular / Private Collection
the-vases-birth-a-la-deborah-colker	O Nascimento dos Vasos – à la Deborah Colker / The Vases’ Birth – à la Deborah Colker	homenagem,obras-disponiveis,tapetes	2009,2010	Óleo s/ tela s/ eucatex e moldura / Oil on canvas on masonite & frame		55 cm x 51 cm	
numbered-seats	Numeradas / Numbered Seats	homenagem,obras-disponiveis	2001,2002,2003,2004,2005,2006	Óleo e costura s/tela e moldura / Oil & sewing on canvas & frame		60 cm x 45 cm	
van-gogh-on-my-head	Van Gogh na Cabeça / Van Gogh on my Head	homenagem,interiores,praia	1995	Óleo s/tela e moldura / Oil on canvas & frame		35 cm x 40 cm	Coleção Particular / Private Collection Em 1996 participou do 8º. Salão Brasileiro de arte da Fundação Mokiti Okada – SP – Brasil e recebeu a Referência Especial do Júri formado por Lisbeth Rebollo Gonçalves, José Roberto Teixeira Leite e Alberto Beutenmüller.  Da seleção participaram 960 artistas de todo o país, dos quais 49 apenas foram selecionados.  De acordo com uma das juradas, Lisbeth R. Gonçalves, as referências especiais destacaram interessantes trabalhos representativos da visualidade do cenário da arte brasileira.  In 1996 the painting took part of the 8th Brazilian Art Salon at Mokiti Okada Foundation in São Paulo, Brazil, and received a special mention of the Jury formed by prestigious art critics in the country.  The Mokiti Okada Foundation selected only 49 artists of a group of 960 enrolled.  According to one of the members of the jury, Lisbeth R. Gonçalves, the special references show up interesting works that represent the present trends of Brazilian art.
homage-to-lise	Homenagem à Lise / Homage to Lise	homenagem,interiores,praia	1993	Óleo s/tela e moldura / Oil on canvas & frame		62 cm x 42 cm	Coleção Particular / Private Collection
dejeuner-sur-lherbe-tropical-pardon-manet	Déjeuner sur l´Herbe Tropical (Pardon, Manet)	homenagem	1992	Óleo e colagem s/tela s/eucatex e moldura / Oil & collage on canvas on masonite & frame		53 cm x 43 cm	Coleção Particular / Private Collection
freud-explains	Freud Explica / Freud Explains	homenagem,interiores,tapetes	1992	Óleo e colagem s/tela / Oil & collage on canvas		40 cm x 30 cm	Coleção Particular / Private Collection
thanks-to-di	Graças a Di / Thanks to Di	homenagem,interiores	2003	Óleo s/ tela e moldura / Oil & collage on canvas & frame		38 cm x 38 cm diâmetro (diameter)	Coleção Particular / Private Collection
the-3-races	As 3 Raças / The 3 Races	diversos,homenagem,objetos	2000	Óleo e colagem s/madeira / Oil & collage on wood		55 cm x 49 cm x 16.5 profundidade (depth)'	Coleção Particular / Private Collection
hora	Hora	homenagem,obras-disponiveis	2007,2008	Óleo sobre tela e moldura com colagem de tapete e ganchos / Oil & collage on canvas & frame		80 cm x 65 cm	
theres-a-tree-on-the-way	No Caminho Há Uma Árvore / (Ofn Veig Shtait a Boim) / There´s a Tree on The Way	diversos,homenagem	1997	Óleo s/ tela	passepartout e moldura / Oil on canvas; passepartout & frame'	53 cm x 43 cm	Coleção Particular / Private Collection
not-all-are-flowers	Nem Tudo São Flores / Not All Are Flowers	diversos,homenagem	1998	Óleo s/ tela s/ eucatex e moldura / Oil on canvas mounted on masonite & frame		52 cm x 37 cm	Coleção Particular / Private Collection
flowers-according-to-guignard	Flores de Acordo com Guignard / Flowers According to Guignard	homenagem,interiores	2006	Frente e verso / Front and back	Acrílica s/tela s/eucatex e base de madeira / Acrylic on canvas mounted on masonite & wooden base'	30 cm x 50 cm x 2 cm'	Coleção Particular / Private Collection
interior-exterior-with-hammock-woman-aldemirs-cat	Interior-exterior com Rede, Mulher e Gato do Aldemir / Interior-exterior With Hammock, Woman & Aldemir´s Cat	homenagem,interiores,objetos	2005,2006	Óleo e colagem s/tela e madeira / Oil & collage on canvas & wood		57 cm x 45 cm	Coleção Particular / Private Collection
